Uhrzeit,Durchschn,Anz,Gesamt,rrate
01/01/15,11,110,1286,-1000
02/01/15,78,126,9857,200
03/01/15,29,113,334,400
04/01/15,7,231,1771,300
05/01/15,7,133,964,200
06/01/15,6,214,1453,600
07/01/15,9,234,2251,800
08/01/15,5,287,1470,300
01/02/15,11,110,1286,-400
02/02/15,78,126,9857,600
03/02/15,29,113,3341,100
04/02/15,7,231,1771,422
05/02/15,7,133,964,654
06/02/15,6,214,1453,436
07/02/15,9,234,2251,-213
8/02/15,5,287,1470,955
01/03/15,11,110,1286,325
02/03/15,78,126,9857,564
03/03/15,29,113,3341,866
04/03/15,7,231,1771,-655
05/03/15,7,133,964,127
06/03/15,6,214,1453,365
07/03/15,9,234,2251,655
8/03/15,5,287,1470,-365
